#Present in minus of 3 samples	Abundance < 5e-05	Present in databank of contaminants
Cluster_127	Cluster_124	
Cluster_164	Cluster_127	
Cluster_166	Cluster_133	
Cluster_168	Cluster_152	
Cluster_182	Cluster_164	
Cluster_202	Cluster_166	
Cluster_239	Cluster_168	
Cluster_253	Cluster_176	
Cluster_265	Cluster_182	
Cluster_268	Cluster_186	
Cluster_269	Cluster_202	
Cluster_270	Cluster_239	
Cluster_284	Cluster_253	
Cluster_287	Cluster_258	
Cluster_303	Cluster_265	
Cluster_308	Cluster_268	
Cluster_321	Cluster_269	
Cluster_323	Cluster_270	
Cluster_328	Cluster_284	
Cluster_331	Cluster_287	
Cluster_334	Cluster_303	
Cluster_350	Cluster_308	
Cluster_355	Cluster_321	
Cluster_359	Cluster_323	
Cluster_362	Cluster_328	
Cluster_364	Cluster_331	
Cluster_378	Cluster_334	
Cluster_379	Cluster_350	
Cluster_382	Cluster_355	
Cluster_383	Cluster_359	
Cluster_399	Cluster_362	
Cluster_403	Cluster_364	
Cluster_409	Cluster_378	
Cluster_410	Cluster_379	
Cluster_415	Cluster_382	
Cluster_418	Cluster_383	
Cluster_429	Cluster_399	
Cluster_446	Cluster_403	
Cluster_451	Cluster_409	
Cluster_461	Cluster_410	
Cluster_465	Cluster_415	
Cluster_467	Cluster_418	
Cluster_475	Cluster_429	
Cluster_477	Cluster_446	
Cluster_482	Cluster_451	
Cluster_487	Cluster_461	
Cluster_493	Cluster_465	
Cluster_494	Cluster_467	
Cluster_499	Cluster_475	
Cluster_501	Cluster_477	
Cluster_503	Cluster_482	
Cluster_520	Cluster_487	
Cluster_524	Cluster_493	
Cluster_539	Cluster_494	
Cluster_547	Cluster_499	
Cluster_548	Cluster_501	
Cluster_549	Cluster_503	
Cluster_550	Cluster_520	
Cluster_566	Cluster_524	
Cluster_576	Cluster_539	
Cluster_592	Cluster_547	
Cluster_611	Cluster_548	
Cluster_620	Cluster_549	
Cluster_632	Cluster_550	
Cluster_657	Cluster_566	
Cluster_672	Cluster_576	
Cluster_704	Cluster_592	
Cluster_705	Cluster_611	
Cluster_709	Cluster_620	
Cluster_720	Cluster_632	
Cluster_721	Cluster_657	
Cluster_736	Cluster_672	
Cluster_740	Cluster_704	
Cluster_742	Cluster_705	
Cluster_759	Cluster_709	
Cluster_770	Cluster_720	
Cluster_778	Cluster_721	
Cluster_787	Cluster_736	
Cluster_794	Cluster_740	
Cluster_798	Cluster_742	
Cluster_801	Cluster_759	
Cluster_803	Cluster_770	
Cluster_814	Cluster_778	
Cluster_819	Cluster_787	
Cluster_825	Cluster_794	
Cluster_836	Cluster_801	
Cluster_840	Cluster_802	
Cluster_843	Cluster_803	
Cluster_855	Cluster_814	
Cluster_858	Cluster_819	
Cluster_859	Cluster_825	
Cluster_861	Cluster_835	
Cluster_864	Cluster_836	
Cluster_866	Cluster_840	
Cluster_874	Cluster_843	
Cluster_876	Cluster_855	
Cluster_878	Cluster_858	
Cluster_886	Cluster_859	
Cluster_892	Cluster_861	
Cluster_921	Cluster_864	
Cluster_928	Cluster_866	
Cluster_930	Cluster_874	
Cluster_958	Cluster_876	
Cluster_961	Cluster_878	
Cluster_964	Cluster_886	
Cluster_967	Cluster_892	
Cluster_979	Cluster_900	
Cluster_989	Cluster_921	
Cluster_1019	Cluster_928	
Cluster_1022	Cluster_958	
Cluster_1026	Cluster_961	
Cluster_1027	Cluster_964	
Cluster_1040	Cluster_967	
Cluster_1050	Cluster_979	
Cluster_1051	Cluster_989	
Cluster_1062	Cluster_1019	
