#All blast coverage < 1.0	All blast identity < 1.0
Cluster_20	Cluster_10
Cluster_57	Cluster_15
Cluster_105	Cluster_17
Cluster_109	Cluster_20
Cluster_140	Cluster_33
Cluster_141	Cluster_40
Cluster_195	Cluster_43
Cluster_275	Cluster_57
Cluster_306	Cluster_62
Cluster_313	Cluster_63
Cluster_388	Cluster_71
Cluster_469	Cluster_95
Cluster_599	Cluster_96
Cluster_738	Cluster_98
Cluster_781	Cluster_100
Cluster_905	Cluster_103
Cluster_912	Cluster_105
Cluster_922	Cluster_109
Cluster_1152	Cluster_122
Cluster_1298	Cluster_140
Cluster_3573	Cluster_141
	Cluster_167
	Cluster_275
	Cluster_306
	Cluster_313
	Cluster_388
	Cluster_445
	Cluster_469
	Cluster_471
	Cluster_599
	Cluster_688
	Cluster_768
	Cluster_781
	Cluster_912
	Cluster_918
	Cluster_922
	Cluster_1152
	Cluster_1298
	Cluster_2254
	Cluster_3573
